State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
WI,Osseo,54612.0,Osseo Waterworks,1701,Dibromochloromethane,0.992,0.1,0,ppb,9.92
WI,Osseo,54612.0,Osseo Waterworks,1701,Dichloroacetic acid,0.485,0.2,0,ppb,2.425
WI,Osseo,54612.0,Osseo Waterworks,1701,Haloacetic acids (HAA5)†,15.5,0.1,60,ppb,155.0
WI,Osseo,54612.0,Osseo Waterworks,1701,Nitrate,0.902,0.14,10,ppm,6.442857142857142
WI,Osseo,54612.0,Osseo Waterworks,1701,Nitrate and nitrite,0.974,0.14,10,ppm,6.957142857142856
WI,Osseo,54612.0,Osseo Waterworks,1701,Radium combined (-226 &amp; -228),0.41,0.05,5,pCi/L,8.2
WI,Osseo,54612.0,Osseo Waterworks,1701,Total trihalomethanes (TTHMs)†,12.2,0.15,80,ppb,81.33333333333333
WI,Osseo,54612.0,Osseo Waterworks,1701,Trichloroacetic acid,0.251,0.1,0,ppb,2.51
WI,Osseo,54612.0,Osseo Waterworks,1701,Aluminum,27.5,600.0,0,ppb,0.04583333333333333
WI,Osseo,54612.0,Osseo Waterworks,1701,Barium,1.24,700.0,2000,ppb,0.0017714285714285714
WI,Osseo,54612.0,Osseo Waterworks,1701,Manganese,54.0,100.0,0,ppb,0.54
WI,Osseo,54612.0,Osseo Waterworks,1701,Mercury (inorganic),0.075,1.2,2,ppb,0.0625
WI,Osseo,54612.0,Osseo Waterworks,1701,Monochloroacetic acid,13.6,53.0,0,ppb,0.25660377358490566
WI,Osseo,54612.0,Osseo Waterworks,1701,Selenium,2.68,30.0,50,ppb,0.08933333333333333
WI,Strum,54612.0,Strum Waterworks,1100,Bromodichloromethane,1.85,0.06,0,ppb,30.833333333333336
WI,Strum,54612.0,Strum Waterworks,1100,Chloroform,4.78,0.4,0,ppb,11.95
WI,Strum,54612.0,Strum Waterworks,1100,Dibromoacetic acid,0.117,0.04,0,ppb,2.9250000000000003
WI,Strum,54612.0,Strum Waterworks,1100,Dibromochloromethane,0.777,0.1,0,ppb,7.77
WI,Strum,54612.0,Strum Waterworks,1100,Dichloroacetic acid,1.67,0.2,0,ppb,8.35
WI,Strum,54612.0,Strum Waterworks,1100,Haloacetic acids (HAA5)†,2.76,0.1,60,ppb,27.599999999999998
WI,Strum,54612.0,Strum Waterworks,1100,Radium combined (-226 &amp; -228),1.25,0.05,5,pCi/L,25.0
WI,Strum,54612.0,Strum Waterworks,1100,Total trihalomethanes (TTHMs)†,8.14,0.15,80,ppb,54.26666666666667
WI,Strum,54612.0,Strum Waterworks,1100,Trichloroacetic acid,0.973,0.1,0,ppb,9.729999999999999
WI,Strum,54612.0,Strum Waterworks,1100,Barium,2.5,700.0,2000,ppb,0.0035714285714285713
WI,Strum,54612.0,Strum Waterworks,1100,Manganese,11.3,100.0,0,ppb,0.113
WI,Strum,54612.0,Strum Waterworks,1100,Nitrate,0.0113,0.14,10,ppm,0.0807142857142857
WI,Strum,54612.0,Strum Waterworks,1100,Nitrate and nitrite,0.0375,0.14,10,ppm,0.26785714285714285
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Bromodichloromethane,0.831,0.06,0,ppb,13.85
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Cadmium,0.25,0.04,5,ppb,6.25
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Chloroform,1.57,0.4,0,ppb,3.925
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Dibromochloromethane,0.542,0.1,0,ppb,5.42
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Haloacetic acids (HAA5)†,1.87,0.1,60,ppb,18.7
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Radium combined (-226 &amp; -228),2.56,0.05,5,pCi/L,51.199999999999996
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Total trihalomethanes (TTHMs)†,2.94,0.15,80,ppb,19.6
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Trichloroacetic acid,0.501,0.1,0,ppb,5.01
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Aluminum,19.5,600.0,0,ppb,0.0325
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Barium,11.1,700.0,2000,ppb,0.015857142857142858
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Dibromoacetic acid,0.0617,0.04,0,ppb,1.5425
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Dichloroacetic acid,0.25,0.2,0,ppb,1.25
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Endrin,0.065,0.3,2,ppb,0.21666666666666667
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Manganese,3.15,100.0,0,ppb,0.0315
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Mercury (inorganic),0.05,1.2,2,ppb,0.04166666666666667
WI,Trempealeau,54612.0,Trempealeau Waterworks,1616,Monochloroacetic acid,1.06,53.0,0,ppb,0.02
