Utility name,City,People served,Zip
Weiss Estates Water System,Bandon,Population served: 36,97411
City of Grants Pass,"Grants Pass, OR","Population served:37,088",97497
"Cave Junction, City of","Cave Junction, OR","Population served:1,935",97497
Rogue Lea Estates-north/south,"Grants Pass, OR",Population served:350,97497
Willow Estates Mobile Home Park,"Grants Pass, OR",Population served:250,97497
Redwood Mobile Estates LLC,"Grants Pass, OR",Population served:250,97497
Medford Water Commission,"Medford, OR","Population served:91,000",97501
Ashland Water Department,"Ashland, OR","Population served:20,700",97501
City of Central Point,"Central Point, OR","Population served:17,025",97501
"Eagle Point, City of","Eagle Point, OR","Population served:9,697",97501
"Talent, City of","Talent, OR","Population served:6,850",97501
"Phoenix, City of","Phoenix, OR","Population served:4,603",97501
"Jacksonville, City of","Jacksonville, OR","Population served:2,850",97501
"Rogue River, City of","Rogue River, OR","Population served:2,250",97501
"Gold Hill, City of","Gold Hill, OR","Population served:1,115",97501
Hiland Water Company - Shady Cove,"Newberg, OR","Population served:1,000",97501
Bley-was Heights Water System,Bly,Population served: 42,97601
Bly Water District,Bly,Population served: 352,97601
Chiloquin Municipal Water Department,Chiloquin,Population served: 730,97601
Collier Lane Homeowners Association,Klamath Falls,Population served: 60,97601
Crescent Water Supply & Improvement District,Crescent,Population served: 900,97601
Crossroads Mobile Home Park,Klamath Falls,Population served: 150,97601
Falcon Heights,Klamath Falls,Population served: 559,97601
Gilchrist Water System LLC,Gilchrist,Population served: 440,97601
Keno Water Co. Inc.,Keno,Population served: 290,97601
Klamath Falls Water Department,Klamath Falls,"Population served: 40,475",97601
Lakeside Mobile Home & Rv Park,Klamath Falls,Population served: 110,97601
Malin Municipal Water,Malin,Population served: 815,97601
Merrill Water Department,Merrill,Population served: 907,97601
Nps Annie Springs,Crater Lake,Population served: 200,97601
Oregon Shores Beach Club Inc.,Chiloquin,Population served: 352,97601
Oregon Shores Recreation Club,Chiloquin,Population served: 275,97601
Pine Grove Water District (klamath),Klamath Falls,Population served: 180,97601
Pinecrest Water Company,Klamath Falls,Population served: 78,97601
Pristine Water Source LLC,Klamath Falls,Population served: 250,97601
Round Lake Water Utilities,Klamath Falls,Population served: 250,97601
Oregon Water Utilities - Mountain Lakes,Klamath Falls,Population served: 770,97601
Shield Crest Condos,Klamath Falls,Population served: 45,97601
Shield Crest Water Association,Klamath Falls,Population served: 61,97601
Skyline View District Improvement,Klamath Falls,Population served: 250,97601
Sportsmans Paradise Motel/tc,Klamath Falls,Population served: 52,97601
Sprague River Water Association,Sprague River,Population served: 60,97601
Christmas Valley Domestic Ws,Christmas Valley,Population served: 860,97620
"Lakeview, City of",Lakeview,"Population served: 2,300",97620
"Paisley, City of",Paisley,Population served: 245,97620
Westwind Mobile Home Park,Lake Oswego,Population served: 104,97620
California Pines Community Services District,Alturas,Population served: 300,97635
Cedarville County Water District,Cedarville,Population served: 500,97635
City Of Alturas,Alturas,"Population served: 2,982",97635
I'sot Well #3 & #15,Canby,Population served: 215,97635
Newell County Water District,Tulelake,Population served: 300,97635
Bend Water Department,"Bend, OR","Population served:62,091",97701
Redmond Water Department,"Redmond, OR","Population served:27,427",97701
Avion Water Company - Avion,"Bend, OR","Population served:31,700",97701
"Prineville, City of","Prineville, OR","Population served:9,645",97701
Roats Water System,"Bend, OR","Population served:4,500",97701
Agate Water System,"Bend, OR","Population served:2,925",97701
