Utility name,City,People served,Zip
Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97232
Sauvie Island Moorage,Portland,Population served: 96,97232
Terrand Mobile Terrace,Silverton,Population served: 71,97232
Valley View Water District,Newberg,"Population served: 1,034",97232
"Wood Village, City of",Wood Village,"Population served: 3,907",97232
Burlington Water District,Newberg,Population served: 340,97233
Wapato Moorage Association,Portland,Population served: 74,97233
Manna House Church,Portland,Population served: 300,97233
City of Troutdale,Troutdale,"Population served: 16,020",97233
Corbett Water District,Corbett,"Population served: 3,300",97233
Cty of Gresham,Gresham,"Population served: 73,932",97233
"Fairview, City of",Fairview,"Population served: 9,176",97233
Interlachen Water People's Utility District,Fairview,Population served: 360,97233
Lorna Portland Water LLC,Newberg,Population served: 200,97233
Lusted Water District,Gresham,"Population served: 1,200",97233
Mayfair Moorage Inc.,Portland,Population served: 28,97233
Palatine Hill Water District,Portland,"Population served: 1,500",97233
Sigler Cove Marina,Scappoose,Population served: 150,97233
Pleasant Home Water District,Gresham,"Population served: 1,510",97233
Portland Water Bureau,Portland,"Population served: 614,059",97233
Rockwood People's Utilities Department,Portland,"Population served: 61,082",97233
