,Contaminant_Score,Simpson_Race_DI_score,Simpson_Ethnic_DI_score,Shannon_Race_DI_score_score,Shannon_Ethnic_DI_score,Gini_Index_score,Total,Priority
559,0,1,0,0,0,0,1,0
560,0,0,0,0,0,0,0,0
561,0,1,0,0,0,0,1,0
562,1,1,1,1,1,0,5,1
563,0,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0,0
565,1,1,1,1,1,0,5,1
566,1,1,0,0,0,0,2,0
567,0,1,1,1,1,0,4,1
568,1,1,0,0,0,0,2,0
569,0,1,0,0,0,0,1,0
570,0,1,0,0,0,0,1,0
571,0,1,0,0,0,0,1,0
572,1,1,1,1,1,0,5,1
573,0,1,0,1,1,0,3,0
574,1,1,1,1,1,0,5,1
575,0,1,0,0,0,0,1,0
576,0,1,0,1,0,1,3,0
577,1,1,0,0,0,1,3,0
578,1,1,0,0,0,0,2,0
579,0,0,0,0,0,0,0,0
580,0,1,0,0,0,0,1,0
581,0,1,1,1,1,0,4,1
582,1,1,0,0,0,0,2,0
583,1,1,0,0,0,0,2,0
584,0,1,0,0,0,0,1,0
585,0,1,0,1,0,0,2,0
586,0,1,1,1,1,0,4,1
587,0,1,0,0,0,0,1,0
588,0,1,0,0,0,0,1,0
589,0,1,0,1,0,0,2,0
590,1,1,0,1,0,0,3,0
591,0,1,0,0,0,1,2,0
592,0,1,0,0,0,0,1,0
593,0,0,0,0,0,0,0,0
594,1,1,1,1,1,0,5,1
595,1,1,0,0,0,0,2,0
596,0,1,0,1,0,0,2,0
597,1,1,0,0,0,0,2,0
598,0,1,0,0,0,0,1,0
599,0,1,1,1,1,1,5,1
600,0,1,0,0,0,0,1,0
601,0,1,0,0,0,0,1,0
602,0,0,0,0,0,0,0,0
603,0,1,0,1,0,0,2,0
604,0,1,0,0,0,0,1,0
605,1,1,0,0,0,0,2,0
606,0,1,0,0,0,0,1,0
607,0,0,0,0,0,0,0,0
608,0,1,0,0,0,0,1,0
609,0,1,0,0,0,0,1,0
610,1,1,0,0,0,0,2,0
611,0,1,1,1,1,0,4,1
612,0,1,0,0,0,0,1,0
613,0,0,0,0,0,0,0,0
614,0,1,0,0,0,0,1,0
615,1,1,0,0,0,0,2,0
616,0,1,1,0,1,0,3,0
617,0,1,0,0,0,0,1,0
618,0,1,0,0,0,0,1,0
619,1,1,0,0,0,0,2,0
620,1,1,0,0,0,0,2,0
621,0,1,1,1,1,0,4,1
622,1,1,0,0,0,0,2,0
623,0,1,0,0,0,0,1,0
624,0,1,0,0,0,0,1,0
625,0,1,0,0,0,0,1,0
626,0,1,0,0,0,0,1,0
627,0,1,0,0,0,0,1,0
628,0,1,0,1,0,0,2,0
629,0,1,0,0,1,0,2,0
630,0,1,0,0,0,0,1,0
631,0,1,0,0,0,1,2,0
632,0,1,0,1,0,0,2,0
633,0,1,1,1,1,0,4,1
634,1,1,0,0,0,0,2,0
635,0,0,0,0,0,0,0,0
636,0,1,0,0,0,0,1,0
637,0,1,0,1,0,1,3,0
638,0,1,1,1,1,0,4,1
639,0,1,0,0,0,0,1,0
640,0,1,0,0,0,0,1,0
641,1,1,1,1,1,0,5,1
642,0,1,0,0,0,0,1,0
643,0,1,1,1,1,0,4,1
644,1,1,0,0,0,0,2,0
645,0,1,0,0,0,0,1,0
646,0,1,0,1,0,0,2,0
647,0,1,0,0,0,0,1,0
648,0,1,0,0,0,0,1,0
649,0,1,0,0,0,0,1,0
650,0,1,0,1,0,0,2,0
651,1,1,1,1,1,0,5,1
652,1,0,0,0,0,0,1,0
653,0,0,0,0,0,0,0,0
654,0,1,0,0,0,0,1,0
655,0,1,0,0,0,0,1,0
656,1,0,0,0,0,0,1,0
657,0,1,0,0,0,0,1,0
658,0,1,0,0,0,0,1,0
659,0,1,1,1,1,0,4,1
660,0,1,0,0,0,0,1,0
661,0,1,0,0,0,0,1,0
662,0,1,0,0,0,0,1,0
663,0,1,0,0,0,0,1,0
664,0,0,0,0,0,0,0,0
665,0,1,0,1,0,0,2,0
666,1,1,0,0,0,0,2,0
667,0,1,0,1,0,0,2,0
668,0,1,0,0,0,0,1,0
669,0,1,0,0,0,0,1,0
670,0,0,0,0,0,0,0,0
671,1,1,0,1,0,0,3,0
672,0,1,0,0,0,0,1,0
673,0,1,0,0,0,0,1,0
674,0,1,0,0,0,0,1,0
675,0,1,0,0,0,0,1,0
676,0,0,0,0,0,0,0,0
677,0,1,0,0,0,0,1,0
678,0,1,0,0,0,0,1,0
679,0,1,0,0,0,0,1,0
680,0,0,0,0,0,0,0,0
681,0,1,0,1,0,0,2,0
682,0,1,0,0,0,0,1,0
683,0,1,0,1,0,0,2,0
684,1,1,0,0,0,0,2,0
685,0,1,0,0,0,1,2,0
686,0,1,0,1,0,0,2,0
687,0,1,0,0,0,0,1,0
688,0,1,0,0,0,0,1,0
689,0,1,0,0,0,0,1,0
690,0,1,0,0,0,0,1,0
691,0,1,0,0,0,0,1,0
692,0,1,0,0,0,0,1,0
693,0,1,0,0,0,0,1,0
694,1,1,0,0,0,0,2,0
695,0,1,0,0,0,0,1,0
696,1,1,0,0,0,0,2,0
697,0,1,0,0,0,0,1,0
698,0,1,0,0,0,0,1,0
699,0,1,0,0,0,0,1,0
700,1,1,0,1,0,0,3,0
701,0,1,0,1,0,0,2,0
702,0,1,0,0,0,0,1,0
703,0,1,0,0,0,0,1,0
704,0,1,0,0,0,0,1,0
705,0,1,0,0,0,0,1,0
706,1,1,0,0,0,0,2,0
707,0,1,0,0,0,0,1,0
708,0,1,0,0,0,1,2,0
709,0,1,0,0,0,0,1,0
710,1,1,1,1,1,0,5,1
711,0,1,0,0,0,0,1,0
712,0,1,1,1,1,0,4,1
713,0,1,1,1,1,0,4,1
714,0,1,1,1,1,0,4,1
715,0,1,0,0,1,0,2,0
716,1,1,1,1,1,0,5,1
717,0,1,1,0,1,0,3,0
718,0,1,1,1,1,0,4,1
719,0,1,1,1,1,0,4,1
720,0,1,0,0,1,0,2,0
721,0,1,0,0,0,0,1,0
722,0,1,0,0,0,0,1,0
723,0,1,0,0,0,0,1,0
724,0,1,1,1,1,0,4,1
725,0,1,1,1,1,0,4,1
726,0,1,1,1,1,0,4,1
727,0,1,1,1,1,0,4,1
728,0,1,1,1,1,0,4,1
729,0,1,1,1,1,0,4,1
730,0,1,1,1,1,0,4,1
731,0,1,1,1,1,0,4,1
732,0,1,1,1,1,0,4,1
733,1,1,1,1,1,0,5,1
734,1,1,1,1,1,0,5,1
735,0,1,1,1,1,0,4,1
736,0,1,1,1,1,0,4,1
737,0,1,1,0,1,0,3,0
738,0,1,1,1,1,0,4,1
739,0,1,1,1,1,0,4,1
740,0,1,0,0,0,0,1,0
741,0,1,1,1,1,0,4,1
742,1,1,1,1,1,0,5,1
743,0,1,0,0,1,0,2,0
744,0,1,1,1,1,0,4,1
745,1,1,1,0,1,0,4,1
746,1,1,0,1,0,0,3,0
747,1,0,0,0,0,0,1,0
748,1,1,0,0,0,0,2,0
749,1,0,0,0,0,0,1,0
750,1,1,1,1,1,0,5,1
751,0,1,0,0,0,0,1,0
752,0,1,0,0,0,0,1,0
753,1,1,1,1,1,0,5,1
754,1,1,0,0,0,0,2,0
755,1,1,0,0,0,0,2,0
756,0,1,0,0,1,0,2,0
757,0,1,0,1,0,0,2,0
