Utility name,City,People served,Zip
Tiplersville Water Association,Tiplersville,"Population served: 1,023",38629
Town of Ashland,Ashland,"Population served: 1,909",38629
Town of Blue Mountain,Blue Mountain,"Population served: 1,811",38629
Town of Falkner,Falkner,"Population served: 2,768",38629
Town of Hickory Flat,Hickory Flat,"Population served: 1,362",38629
Town of Potts Camp #2,Potts Camp,Population served: 428,38629
Town of Snow Lake Shores,Ashland,Population served: 500,38629
Town of Walnut,Walnut,"Population served: 1,386",38629
Clarksdale Public Utilities,Clarksdale,"Population served: 17,962",38631
Coahoma Community College,Clarksdale,"Population served: 2,000",38631
Coahoma Utility District #2,Clarksdale,Population served: 554,38631
Green Acres W/a-north,Marks,Population served: 237,38631
Green Acres W/a-south,Marks,Population served: 351,38631
Lu-rand Utility District,Clarksdale,Population served: 215,38631
Moore Bayou W/a #2,Marks,Population served: 420,38631
Moore Bayou W/a #3,Marks,Population served: 378,38631
Moore Bayou Water Association,Marks,Population served: 438,38631
Pine Grove Water Association,Clarksdale,Population served: 433,38631
Rena Lara Water Association,Rena Lara,Population served: 412,38631
Town of Coahoma,Coahoma,Population served: 325,38631
Town of Friars Point,Friars Point,"Population served: 1,200",38631
Town of Jonestown,Jonestown,"Population served: 1,298",38631
Town of Lula,Lula,Population served: 319,38631
Town of Lyon,Lyon,Population served: 382,38631
Water Association of Moon Lake,Clarksdale,Population served: 500,38631
City of Olive Branch,"Olive Branch, MS","Population served:49,339",38632
City of Southaven,"Southaven, MS","Population served:54,031",38632
City of Horn Lake,"Horn Lake, MS","Population served:13,263",38632
Horn Lake Water Association,"Horn Lake, MS","Population served:12,601",38632
City of Hernando,"Hernando, MS","Population served:13,083",38632
Alpine Water Association,Blue Springs,Population served: 840,38633
Bethlehem Water Association,New Albany,Population served: 908,38633
Blackjack Development Association,Falkner,Population served: 613,38633
Blue Springs W/a,Blue Springs,"Population served: 3,000",38633
City of New Albany,New Albany,"Population served: 8,500",38633
Highway 30 West Water Association,Myrtle,"Population served: 1,869",38633
Ingomar Water Association,New Albany,"Population served: 2,508",38633
Keownville Rural Water Association,Baldwyn,"Population served: 2,553",38633
Lake Arrowhead,Hickory Flat,Population served: 250,38633
Mud Creek Water Association #4,Pontotoc,"Population served: 1,190",38633
North Benton W/a,Lamar,Population served: 388,38633
North Haven Water Association,New Albany,Population served: 884,38633
Town of Ashland,Ashland,"Population served: 1,909",38633
Town of Hickory Flat,Hickory Flat,"Population served: 1,362",38633
Town of Myrtle,Myrtle,"Population served: 1,953",38633
Town of Potts Camp #2,Potts Camp,Population served: 428,38633
Town of Snow Lake Shores,Ashland,Population served: 500,38633
Wallerville Water Association,New Albany,"Population served: 3,593",38633
Arkabutla Water Association,Arkabutla,Population served: 445,38635
Back Acres,Senatobia,Population served: 443,38635
Bcm Water Association,Myrtle,"Population served: 1,465",38635
Blackjack Development Association,Falkner,Population served: 613,38635
City of Holly Springs,Holly Springs,"Population served: 8,676",38635
City of Senatobia,Senatobia,"Population served: 7,869",38635
Cottonville-savage W/a Inc.,Coldwater,Population served: 300,38635
Crestfield Water Association,Coldwater,Population served: 75,38635
Hidden Valley Light Association,Coldwater,Population served: 59,38635
Looxahoma Water Association,Senatobia,Population served: 665,38635
Marshall County Water Association,Byhalia,"Population served: 3,905",38635
North Benton W/a,Lamar,Population served: 388,38635
Oakdale Estates and Lake Suente,Senatobia,Population served: 135,38635
Senatobia Lakes Estates Inc.,Senatobia,Population served: 147,38635
South Victoria,Byhalia,Population served: 100,38635
Strayhorn W/a-crockett,Senatobia,"Population served: 2,550",38635
Town of Ashland,Ashland,"Population served: 1,909",38635
Town of Byhalia,Byhalia,"Population served: 3,637",38635
Town of Coldwater,Coldwater,"Population served: 1,600",38635
Town of Hickory Flat,Hickory Flat,"Population served: 1,362",38635
Town of Potts Camp,Potts Camp,Population served: 977,38635
Town of Potts Camp #2,Potts Camp,Population served: 428,38635
Town of Snow Lake Shores,Ashland,Population served: 500,38635
Belmont Water Association,Hernando,"Population served: 2,107",38637
Buena Vista Lakes,Columbus,Population served: 768,38637
City of Hernando,Hernando,"Population served: 13,083",38637
City Of Hernando - Laughter,Hernando,Population served: 964,38637
City Of Hernando-jaybird,Hernando,"Population served: 4,837",38637
City of Horn Lake,Horn Lake,"Population served: 13,263",38637
City of Horn Lake - Holly Hills,Horn Lake,Population served: 665,38637
City Of Horn Lake - Twin Lakes,Horn Lake,"Population served: 1,803",38637
City of Olive Branch,Olive Branch,"Population served: 49,339",38637
City of Southaven,Southaven,"Population served: 54,031",38637
Country Haven Mobile Home Park,Nesbit,Population served: 507,38637
Days Water Association,Nesbit,"Population served: 2,563",38637
Eudora Utilities Association,Hernando,"Population served: 3,688",38637
Horn Lake Water Association,Horn Lake,"Population served: 12,601",38637
,,Population served: 0,38637
Lewisburg -ingrams Mill North,Olive Branch,Population served: 463,38637
Lewisburg Water Association,Olive Branch,"Population served: 6,000",38637
Nesbit Water Association,Nesbit,"Population served: 4,563",38637
Walls Water Association,Walls,"Population served: 2,558",38637
Walls Water Association- Lake Forest,Walls,"Population served: 8,290",38637
Clarksdale Public Utilities,Clarksdale,"Population served: 17,962",38639
Coahoma Community College,Clarksdale,"Population served: 2,000",38639
Coahoma Utility District #2,Clarksdale,Population served: 554,38639
Green Acres W/a-north,Marks,Population served: 237,38639
Green Acres W/a-south,Marks,Population served: 351,38639
Lu-rand Utility District,Clarksdale,Population served: 215,38639
Moore Bayou W/a #2,Marks,Population served: 420,38639
Moore Bayou W/a #3,Marks,Population served: 378,38639
Moore Bayou Water Association,Marks,Population served: 438,38639
Pine Grove Water Association,Clarksdale,Population served: 433,38639
Rena Lara Water Association,Rena Lara,Population served: 412,38639
Town of Coahoma,Coahoma,Population served: 325,38639
Town of Friars Point,Friars Point,"Population served: 1,200",38639
Town of Jonestown,Jonestown,"Population served: 1,298",38639
Town of Lula,Lula,Population served: 319,38639
Town of Lyon,Lyon,Population served: 382,38639
Water Association of Moon Lake,Clarksdale,Population served: 500,38639
Belmont Water Association,Hernando,"Population served: 2,107",38641
Buena Vista Lakes,Columbus,Population served: 768,38641
City of Hernando,Hernando,"Population served: 13,083",38641
City Of Hernando - Laughter,Hernando,Population served: 964,38641
City Of Hernando-jaybird,Hernando,"Population served: 4,837",38641
City of Horn Lake,Horn Lake,"Population served: 13,263",38641
City of Horn Lake - Holly Hills,Horn Lake,Population served: 665,38641
City Of Horn Lake - Twin Lakes,Horn Lake,"Population served: 1,803",38641
City of Olive Branch,Olive Branch,"Population served: 49,339",38641
City of Southaven,Southaven,"Population served: 54,031",38641
Country Haven Mobile Home Park,Nesbit,Population served: 507,38641
Days Water Association,Nesbit,"Population served: 2,563",38641
Eudora Utilities Association,Hernando,"Population served: 3,688",38641
