Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Broadview-westchester Joint Water Agency,Chloroform,14.3 ppb,0.4 ppb,
Broadview-westchester Joint Water Agency,Chromium (hexavalent)*,0.194 ppb,0.02 ppb,
Broadview-westchester Joint Water Agency,Dibromoacetic acid,0.652 ppb,0.04 ppb,
Broadview-westchester Joint Water Agency,Dibromochloromethane,5.17 ppb,0.1 ppb,
Broadview-westchester Joint Water Agency,Dichloroacetic acid,7.58 ppb,0.2 ppb,
Broadview-westchester Joint Water Agency,Haloacetic acids (HAA5)†,16.7 ppb,0.1 ppb,60 ppb
Broadview-westchester Joint Water Agency,Haloacetic acids (HAA9)*†,19.1 ppb,0.06 ppb,
Broadview-westchester Joint Water Agency,Nitrate*,0.346 ppm,0.14 ppm,10 ppm
Broadview-westchester Joint Water Agency,Nitrate and nitrite*,0.346 ppm,0.14 ppm,10 ppm
Broadview-westchester Joint Water Agency,"Radium, combined (-226 &amp; -228)*",0.67 pCi/L,0.05 pCi/L,5 pCi/L
Broadview-westchester Joint Water Agency,Total trihalomethanes (TTHMs)†,29.5 ppb,0.15 ppb,80 ppb
Broadview-westchester Joint Water Agency,Trichloroacetic acid,6.90 ppb,0.1 ppb,
Broadview-westchester Joint Water Agency,"4-Androstene-3,17-dione*",0.175 ppt,,
Broadview-westchester Joint Water Agency,Barium*,20.4 ppb,700 ppb,"2,000 ppb"
Broadview-westchester Joint Water Agency,Chromium (total)*,0.143 ppb,,100 ppb
Broadview-westchester Joint Water Agency,Fluoride*,0.714 ppm,,4 ppm
Broadview-westchester Joint Water Agency,Molybdenum*,1.07 ppb,40 ppb,
Broadview-westchester Joint Water Agency,Monobromoacetic acid,0.844 ppb,25 ppb,
Broadview-westchester Joint Water Agency,Monochloroacetic acid,0.690 ppb,53 ppb,
Broadview-westchester Joint Water Agency,Strontium*,0.115 ppb,"1,500 ppb",
Broadview-westchester Joint Water Agency,Testosterone*,0.0250 ppt,,
Broadview-westchester Joint Water Agency,Vanadium*,0.238 ppb,21 ppb,
Broadview-westchester Joint Water Agency,None,,,
Westchester County Water District #1,Di(2-ethylhexyl) phthalate,0.0710 ppb,3 ppb,6 ppb
Westchester County Water District #1,Hexachlorocyclopentadiene,0.0150 ppb,2 ppb,50 ppb
Westchester County Water District #1,Nitrate,0.139 ppm,0.14 ppm,10 ppm
Westchester County Water District #1,Nitrate and nitrite,0.139 ppm,0.14 ppm,10 ppm
Westchester County Water District #1,Pentachlorophenol,0.00640 ppb,0.3 ppb,1 ppb
Westchester County Water District #1,None,,,
Northern Westchester Joint Water Works,Arsenic,0.0273 ppb,0.004 ppb,10 ppb
Northern Westchester Joint Water Works,Barium,7.32 ppb,700 ppb,"2,000 ppb"
Northern Westchester Joint Water Works,Chromium (total),0.0727 ppb,,100 ppb
Northern Westchester Joint Water Works,Manganese,0.636 ppb,100 ppb,
Northern Westchester Joint Water Works,Nitrate,0.0605 ppm,0.14 ppm,10 ppm
Northern Westchester Joint Water Works,Nitrate and nitrite,0.0605 ppm,0.14 ppm,10 ppm
Northern Westchester Joint Water Works,None,,,
White Plains City,Bromodichloromethane,3.41 ppb,0.06 ppb,
White Plains City,Chloroform,26.1 ppb,0.4 ppb,
White Plains City,Chromium (hexavalent),0.0435 ppb,0.02 ppb,
White Plains City,Dibromoacetic acid,0.107 ppb,0.04 ppb,
White Plains City,Dichloroacetic acid,14.8 ppb,0.2 ppb,
White Plains City,Haloacetic acids (HAA5)†,39.6 ppb,0.1 ppb,60 ppb
White Plains City,Haloacetic acids (HAA9)†,56.7 ppb,0.06 ppb,
White Plains City,Total trihalomethanes (TTHMs)†,29.6 ppb,0.15 ppb,80 ppb
White Plains City,Trichloroacetic acid,24.7 ppb,0.1 ppb,
White Plains City,Barium,16.8 ppb,700 ppb,"2,000 ppb"
White Plains City,Chlorate,80.1 ppb,210 ppb,
White Plains City,Chromium (total),0.0558 ppb,,100 ppb
White Plains City,Di(2-ethylhexyl) phthalate,0.118 ppb,3 ppb,6 ppb
White Plains City,Dibromochloromethane,0.00263 ppb,0.1 ppb,
White Plains City,Fluoride,0.645 ppm,,4 ppm
White Plains City,Hexachlorocyclopentadiene,0.0250 ppb,2 ppb,50 ppb
White Plains City,Manganese,9.95 ppb,100 ppb,
White Plains City,Nitrate,0.161 ppm,0.14 ppm,10 ppm
White Plains City,Nitrate and nitrite,0.161 ppm,0.14 ppm,10 ppm
White Plains City,Pentachlorophenol,0.0107 ppb,0.3 ppb,1 ppb
White Plains City,Strontium,0.0225 ppb,"1,500 ppb",
White Plains City,None,,,
United Water Westchester Rate District 1,Bromodichloromethane,3.50 ppb,0.06 ppb,
United Water Westchester Rate District 1,Bromoform*,1.42 ppb,0.5 ppb,
United Water Westchester Rate District 1,Chloroform,33.3 ppb,0.4 ppb,
United Water Westchester Rate District 1,Chromium (hexavalent),0.0426 ppb,0.02 ppb,
