Utility name,City,People served,Zip
Buchanan Village,"Brewster, NY","Population served:2,200",10596
Amawalk-shenorock Water District,"Somers, NY","Population served:3,800",10598
Amawalk Heights Water District,"Somers, NY",Population served:400,10598
Lincoln Hall School,"Lincolndale, NY",Population served:500,10598
Windsor Farms Water District,"Somers, NY",Population served:150,10598
New Castle/Stanwood WD,"Chappaqua, NY","Population served:28,501",10598
Cortlandt Consolidated WD,"Cortlandt Manor, NY","Population served:28,369",10598
Cale Farms Water Works,"Somers, NY",Population served:212,10598
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10601
White Plains City,"White Plains, NY","Population served:59,353",10603
North Castle Water District #1,"Armonk, NY","Population served:2,500",10603
Elmsford Village,"Elmsford, NY","Population served:4,600",10603
Pleasant Ridge Water District,"Valhalla, NY",Population served:95,10603
White Plains City,"White Plains, NY","Population served:59,353",10604
Jennie Clarkson Home,"Dobbs Ferry, NY",Population served:96,10604
North Castle Water District #1,"Armonk, NY","Population served:2,500",10604
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10605
Scarsdale Water Department,"Scarsdale, NY","Population served:20,608",10605
Scarsdale Water Department,"Scarsdale, NY","Population served:20,608",10606
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10606
Elmsford Village,"Elmsford, NY","Population served:4,600",10607
White Plains City,"White Plains, NY","Population served:59,353",10607
Yonkers City,"Yonkers, NY","Population served:196,086",10701
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10701
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10703
Yonkers City,"Yonkers, NY","Population served:196,086",10704
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10704
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10706
Yonkers City,"Yonkers, NY","Population served:196,086",10706
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10707
Yonkers City,"Yonkers, NY","Population served:196,086",10707
Yonkers City,"Yonkers, NY","Population served:196,086",10708
Yonkers City,"Yonkers, NY","Population served:196,086",10708
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10708
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10708
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10709
Yonkers City,"Yonkers, NY","Population served:196,086",10710
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10710
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10710
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10710
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10801
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10801
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10801
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10803
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10804
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10804
Bear Mountain Water Supply,Bear Mountain,"Population served: 3,564",10901
High-tor Properties,New York,Population served: 300,10901
Hillburn Village,Hillburn,Population served: 950,10901
Hilltop House,Spring Valley,Population served: 73,10901
J&r Mobile Homes,Lake George,Population served: 75,10901
Lake Lucille Prop Owners Association,New City,Population served: 92,10901
Mazza-leone Mobile Home Court,West Haverstraw,Population served: 55,10901
Mount Ivy Enterprises,Thiells,Population served: 170,10901
Mountainview Mobile Home Park,Stony Point,Population served: 225,10901
Nyack Village Water Supply,Nyack,"Population served: 14,700",10901
"Oak Tree La, Hav Ltd",New City,Population served: 140,10901
,,Population served: 0,10901
Pomona Country Club,Suffern,Population served: 30,10901
Pomona Glen,Stony Point,Population served: 50,10901
,,Population served: 0,10901
St. Marys Villa,Sloatsburg,Population served: 55,10901
Suffern Village,Suffern,"Population served: 12,000",10901
Sunrise Bungalows,Spring Valley,Population served: 50,10901
Torne Brook Farm,Hillburn,Population served: 50,10901
