State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
ND,Galesburg,58009.0,Galesburg City of,108,Dichloroacetic acid,21.7,0.2,0,ppb,108.49999999999999
ND,Galesburg,58009.0,Galesburg City of,108,Haloacetic acids (HAA5)†,40.3,0.1,60,ppb,402.99999999999994
ND,Galesburg,58009.0,Galesburg City of,108,Total trihalomethanes (TTHMs)†,77.0,0.15,80,ppb,513.3333333333334
ND,Galesburg,58009.0,Galesburg City of,108,Trichloroacetic acid,13.6,0.1,0,ppb,136.0
ND,Galesburg,58009.0,Galesburg City of,108,Bromoform,0.982,0.5,0,ppb,1.964
ND,Galesburg,58009.0,Galesburg City of,108,Monobromoacetic acid,0.473,25.0,0,ppb,0.01892
ND,Galesburg,58009.0,Galesburg City of,108,Monochloroacetic acid,2.02,53.0,0,ppb,0.03811320754716981
ND,Hatton,58009.0,Hatton City of,777,Bromodichloromethane,0.799,0.06,0,ppb,13.316666666666668
ND,Hatton,58009.0,Hatton City of,777,Dibromoacetic acid*,0.144,0.04,0,ppb,3.5999999999999996
ND,Hatton,58009.0,Hatton City of,777,Dibromochloromethane,0.811,0.1,0,ppb,8.11
ND,Hatton,58009.0,Hatton City of,777,Nitrate*,0.45,0.14,10,ppm,3.214285714285714
ND,Hatton,58009.0,Hatton City of,777,Nitrate and nitrite*,0.46,0.14,10,ppm,3.2857142857142856
ND,Hatton,58009.0,Hatton City of,777,Radium combined (-226 &amp; -228)*,1.25,0.05,5,pCi/L,25.0
ND,Hatton,58009.0,Hatton City of,777,Total trihalomethanes (TTHMs)†,2.31,0.15,80,ppb,15.4
ND,Hatton,58009.0,Hatton City of,777,Barium*,15.2,700.0,2000,ppb,0.021714285714285714
ND,Hatton,58009.0,Hatton City of,777,Bromoform,0.0743,0.5,0,ppb,0.1486
ND,Hatton,58009.0,Hatton City of,777,Chloroform,0.626,0.4,0,ppb,1.565
ND,Hatton,58009.0,Hatton City of,777,Haloacetic acids (HAA5)*†,0.144,0.1,60,ppb,1.4399999999999997
ND,Hatton,58009.0,Hatton City of,777,Manganese*,0.433,100.0,0,ppb,0.00433
ND,Hillsboro,58009.0,Hillsboro City of,1603,Bromodichloromethane,15.7,0.06,0,ppb,261.6666666666667
ND,Hillsboro,58009.0,Hillsboro City of,1603,Carbon tetrachloride,0.355,0.1,5,ppb,3.55
ND,Hillsboro,58009.0,Hillsboro City of,1603,Chloroform,40.0,0.4,0,ppb,100.0
ND,Hillsboro,58009.0,Hillsboro City of,1603,Dibromoacetic acid,0.863,0.04,0,ppb,21.575
ND,Hillsboro,58009.0,Hillsboro City of,1603,Dibromochloromethane,3.63,0.1,0,ppb,36.3
ND,Hillsboro,58009.0,Hillsboro City of,1603,Dichloroacetic acid,20.4,0.2,0,ppb,101.99999999999999
ND,Hillsboro,58009.0,Hillsboro City of,1603,Haloacetic acids (HAA5)†,43.2,0.1,60,ppb,432.0
ND,Hillsboro,58009.0,Hillsboro City of,1603,Nitrate,0.474,0.14,10,ppm,3.3857142857142852
ND,Hillsboro,58009.0,Hillsboro City of,1603,Total trihalomethanes (TTHMs)†,59.6,0.15,80,ppb,397.33333333333337
ND,Hillsboro,58009.0,Hillsboro City of,1603,Trichloroacetic acid,20.0,0.1,0,ppb,200.0
ND,Hillsboro,58009.0,Hillsboro City of,1603,Aluminum,5.83,600.0,0,ppb,0.009716666666666667
ND,Hillsboro,58009.0,Hillsboro City of,1603,Atrazine,0.107,0.1,3,ppb,1.0699999999999998
ND,Hillsboro,58009.0,Hillsboro City of,1603,Barium,99.5,700.0,2000,ppb,0.14214285714285715
ND,Hillsboro,58009.0,Hillsboro City of,1603,Bromoform,0.0783,0.5,0,ppb,0.1566
ND,Hillsboro,58009.0,Hillsboro City of,1603,Manganese,0.217,100.0,0,ppb,0.00217
ND,Hillsboro,58009.0,Hillsboro City of,1603,Monobromoacetic acid,0.492,25.0,0,ppb,0.01968
ND,Hillsboro,58009.0,Hillsboro City of,1603,Monochloroacetic acid,1.68,53.0,0,ppb,0.03169811320754717
ND,Hillsboro,58009.0,Hillsboro City of,1603,Selenium,0.317,30.0,50,ppb,0.010566666666666667
ND,Mayville,58009.0,Mayville City of,1858,Arsenic,3.38,0.004,10,ppb,845.0
ND,Mayville,58009.0,Mayville City of,1858,Bromodichloromethane,1.14,0.06,0,ppb,19.0
ND,Mayville,58009.0,Mayville City of,1858,Chloroform,0.986,0.4,0,ppb,2.465
ND,Mayville,58009.0,Mayville City of,1858,Dibromochloromethane,0.876,0.1,0,ppb,8.76
ND,Mayville,58009.0,Mayville City of,1858,Haloacetic acids (HAA5)†,0.509,0.1,60,ppb,5.09
ND,Mayville,58009.0,Mayville City of,1858,Nitrate,0.62,0.14,10,ppm,4.428571428571428
ND,Mayville,58009.0,Mayville City of,1858,Nitrate and nitrite,0.46,0.14,10,ppm,3.2857142857142856
ND,Mayville,58009.0,Mayville City of,1858,Radium combined (-226 &amp; -228),0.16,0.05,5,pCi/L,3.1999999999999997
ND,Mayville,58009.0,Mayville City of,1858,Total trihalomethanes (TTHMs)†,3.0,0.15,80,ppb,20.0
ND,Mayville,58009.0,Mayville City of,1858,Barium,9.86,700.0,2000,ppb,0.014085714285714285
ND,Mayville,58009.0,Mayville City of,1858,Dichloroacetic acid,0.337,0.2,0,ppb,1.685
ND,Mayville,58009.0,Mayville City of,1858,Monobromoacetic acid,0.171,25.0,0,ppb,0.006840000000000001
ND,Mayville,58009.0,Mayville City of,1858,Trichloroacetic acid*,0.147,0.1,0,ppb,1.4699999999999998
ND,Mayville,58009.0,Mayville City of,1858,Uranium,0.01,0.43,20,pCi/L,0.023255813953488372
ND,Portland,58009.0,Portland City of,606,Bromodichloromethane,1.66,0.06,0,ppb,27.666666666666668
ND,Portland,58009.0,Portland City of,606,Chloroform,1.46,0.4,0,ppb,3.65
ND,Portland,58009.0,Portland City of,606,Dibromochloromethane,1.32,0.1,0,ppb,13.2
ND,Portland,58009.0,Portland City of,606,Haloacetic acids (HAA5)†,0.403,0.1,60,ppb,4.03
ND,Portland,58009.0,Portland City of,606,Total trihalomethanes (TTHMs)†,4.44,0.15,80,ppb,29.600000000000005
ND,Portland,58009.0,Portland City of,606,Dichloroacetic acid,0.151,0.2,0,ppb,0.7549999999999999
ND,Portland,58009.0,Portland City of,606,Monobromoacetic acid,0.251,25.0,0,ppb,0.01004
ND,Portland,58009.0,Portland City of,606,Trichloroacetic acid*,0.147,0.1,0,ppb,1.4699999999999998
ND,Forman,58013.0,Forman City of,504,Bromodichloromethane,1.62,0.06,0,ppb,27.000000000000004
ND,Forman,58013.0,Forman City of,504,Bromoform,7.13,0.5,0,ppb,14.26
ND,Forman,58013.0,Forman City of,504,Dibromoacetic acid,2.31,0.04,0,ppb,57.75
ND,Forman,58013.0,Forman City of,504,Dibromochloromethane,5.48,0.1,0,ppb,54.800000000000004
ND,Forman,58013.0,Forman City of,504,Haloacetic acids (HAA5)†,2.31,0.1,60,ppb,23.099999999999998
ND,Forman,58013.0,Forman City of,504,Nitrate,0.419,0.14,10,ppm,2.9928571428571424
ND,Forman,58013.0,Forman City of,504,Nitrate and nitrite,0.557,0.14,10,ppm,3.9785714285714286
ND,Forman,58013.0,Forman City of,504,Radium combined (-226 &amp; -228),0.71,0.05,5,pCi/L,14.2
ND,Forman,58013.0,Forman City of,504,Total trihalomethanes (TTHMs)†,14.2,0.15,80,ppb,94.66666666666667
ND,Forman,58013.0,Forman City of,504,Uranium,1.98,0.43,20,pCi/L,4.604651162790698
ND,Forman,58013.0,Forman City of,504,Barium,1.53,700.0,2000,ppb,0.0021857142857142856
ND,Forman,58013.0,Forman City of,504,Ethylbenzene,0.895,300.0,700,ppb,0.0029833333333333335
ND,Forman,58013.0,Forman City of,504,Selenium,1.12,30.0,50,ppb,0.037333333333333336
ND,Forman,58013.0,Forman City of,504,Xylenes (total),15.5,1800.0,10000,ppb,0.008611111111111111
ND,Gwinner,58013.0,Gwinner City of,753,Bromodichloromethane,0.687,0.06,0,ppb,11.450000000000001
ND,Gwinner,58013.0,Gwinner City of,753,Dibromoacetic acid,0.156,0.04,0,ppb,3.9
ND,Gwinner,58013.0,Gwinner City of,753,Dibromochloromethane,0.554,0.1,0,ppb,5.54
ND,Gwinner,58013.0,Gwinner City of,753,Haloacetic acids (HAA5)†,0.303,0.1,60,ppb,3.03
